STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TAVGF,TAVG_ATTRIBUTES,TMAXF,TMAX_ATTRIBUTES,TMINF,TMIN_ATTRIBUTES,,,TAVG,TMAX,TMIN
CHM00054511,"BEIJING, CH",39.933,116.283,55,2020/8/16,78,"H,,S",88,",,S",74,",,S",,,26,31,23
CHM00054511,"BEIJING, CH",39.933,116.283,55,2020/8/17,77,"H,,S",81,",,S",75,",,S",,,25,27,24
CHM00054511,"BEIJING, CH",39.933,116.283,55,2020/8/18,73,"H,,S",81,",,S",,,,,23,27,
CHM00054511,"BEIJING, CH",39.933,116.283,55,2020/8/19,74,"H,,S",80,",,S",,,,,23,27,
CHM00054511,"BEIJING, CH",39.933,116.283,55,2020/8/20,73,"H,,S",,,64,",,S",,,23,,18
CHM00054511,"BEIJING, CH",39.933,116.283,55,2020/8/21,74,"H,,S",,,63,",,S",,,23,,17
CHM00054511,"BEIJING, CH",39.933,116.283,55,2020/8/22,75,"H,,S",83,",,S",65,",,S",,,24,28,18
CHM00054511,"BEIJING, CH",39.933,116.283,55,2020/8/23,75,"H,,S",,,67,",,S",,,24,,19
CHM00054511,"BEIJING, CH",39.933,116.283,55,2020/8/24,78,"H,,S",,,67,",,S",,,26,,19
CHM00054511,"BEIJING, CH",39.933,116.283,55,2020/8/25,82,"H,,S",,,,,,,28,,
CHM00054511,"BEIJING, CH",39.933,116.283,55,2020/8/26,78,"H,,S",93,",,S",,,,,26,34,
CHM00054511,"BEIJING, CH",39.933,116.283,55,2020/8/27,78,"H,,S",90,",,S",,,,,26,32,
CHM00054511,"BEIJING, CH",39.933,116.283,55,2020/8/28,79,"H,,S",90,",,S",69,",,S",,,26,32,21
CHM00054511,"BEIJING, CH",39.933,116.283,55,2020/8/29,80,"H,,S",87,",,S",74,",,S",,,27,31,23
CHM00054511,"BEIJING, CH",39.933,116.283,55,2020/8/30,78,"H,,S",87,",,S",,,,,26,31,
CHM00054511,"BEIJING, CH",39.933,116.283,55,2020/8/31,71,"H,,S",87,",,S",,,,,22,31,
CHM00054511,"BEIJING, CH",39.933,116.283,55,2020/9/1,76,"H,,S",,,,,,,24,,
CHM00054511,"BEIJING, CH",39.933,116.283,55,2020/9/2,73,"H,,S",92,",,S",,,,,23,33,
CHM00054511,"BEIJING, CH",39.933,116.283,55,2020/9/3,69,"H,,S",,,,,,,21,,
CHM00054511,"BEIJING, CH",39.933,116.283,55,2020/9/4,73,"H,,S",86,",,S",60,",,S",,,23,30,16
CHM00054511,"BEIJING, CH",39.933,116.283,55,2020/9/5,75,"H,,S",88,",,S",65,",,S",,,24,31,18
CHM00054511,"BEIJING, CH",39.933,116.283,55,2020/9/6,76,"H,,S",88,",,S",,,,,24,31,
CHM00054511,"BEIJING, CH",39.933,116.283,55,2020/9/7,76,"H,,S",,,,,,,24,,
CHM00054511,"BEIJING, CH",39.933,116.283,55,2020/9/8,76,"H,,S",89,",,S",,,,,24,32,
CHM00054511,"BEIJING, CH",39.933,116.283,55,2020/9/9,76,"H,,S",88,",,S",,,,,24,31,
CHM00054511,"BEIJING, CH",39.933,116.283,55,2020/9/10,70,"H,,S",88,",,S",,,,,21,31,
CHM00054511,"BEIJING, CH",39.933,116.283,55,2020/9/11,72,"H,,S",80,",,S",,,,,22,27,
CHM00054511,"BEIJING, CH",39.933,116.283,55,2020/9/12,70,"H,,S",,,,,,,21,,
CHM00054511,"BEIJING, CH",39.933,116.283,55,2020/9/13,74,"H,,S",,,64,",,S",,,23,,18
CHM00054511,"BEIJING, CH",39.933,116.283,55,2020/9/14,72,"H,,S",81,",,S",68,",,S",,,22,27,20
CHM00054511,"BEIJING, CH",39.933,116.283,55,2020/9/15,65,"H,,S",78,",,S",,,,,18,26,
CHM00054511,"BEIJING, CH",39.933,116.283,55,2020/9/16,72,"H,,S",80,",,S",,,,,22,27,
CHM00054511,"BEIJING, CH",39.933,116.283,55,2020/9/17,67,"H,,S",,,,,,,19,,
CHM00054511,"BEIJING, CH",39.933,116.283,55,2020/9/18,67,"H,,S",83,",,S",,,,,19,28,
CHM00054511,"BEIJING, CH",39.933,116.283,55,2020/9/19,69,"H,,S",84,",,S",55,",,S",,,21,29,13
CHM00054511,"BEIJING, CH",39.933,116.283,55,2020/9/20,69,"H,,S",84,",,S",,,,,21,29,
CHM00054511,"BEIJING, CH",39.933,116.283,55,2020/9/21,69,"H,,S",80,",,S",,,,,21,27,
