STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TAVGF,TAVG_ATTRIBUTES,TMAXF,TMAX_ATTRIBUTES,TMINF,TMIN_ATTRIBUTES,,,TAVG,TMAX,TMIN
CHM00057687,"CHANGSHA, CH",28.233,112.867,68,2020/8/16,86,"H,,S",96,",,S",75,",,S",,,30,36,24
CHM00057687,"CHANGSHA, CH",28.233,112.867,68,2020/8/17,85,"H,,S",96,",,S",74,",,S",,,29,36,23
CHM00057687,"CHANGSHA, CH",28.233,112.867,68,2020/8/18,85,"H,,S",97,",,S",76,",,S",,,29,36,24
CHM00057687,"CHANGSHA, CH",28.233,112.867,68,2020/8/19,85,"H,,S",97,",,S",76,",,S",,,29,36,24
CHM00057687,"CHANGSHA, CH",28.233,112.867,68,2020/8/20,86,"H,,S",95,",,S",78,",,S",,,30,35,26
CHM00057687,"CHANGSHA, CH",28.233,112.867,68,2020/8/21,82,"H,,S",95,",,S",76,",,S",,,28,35,24
CHM00057687,"CHANGSHA, CH",28.233,112.867,68,2020/8/22,84,"H,,S",93,",,S",76,",,S",,,29,34,24
CHM00057687,"CHANGSHA, CH",28.233,112.867,68,2020/8/23,86,"H,,S",95,",,S",78,",,S",,,30,35,26
CHM00057687,"CHANGSHA, CH",28.233,112.867,68,2020/8/24,87,"H,,S",97,",,S",,,,,31,36,
CHM00057687,"CHANGSHA, CH",28.233,112.867,68,2020/8/25,78,"H,,S",97,",,S",75,",,S",,,26,36,24
CHM00057687,"CHANGSHA, CH",28.233,112.867,68,2020/8/26,79,"H,,S",91,",,S",70,",,S",,,26,33,21
CHM00057687,"CHANGSHA, CH",28.233,112.867,68,2020/8/27,82,"H,,S",95,",,S",70,",,S",,,28,35,21
CHM00057687,"CHANGSHA, CH",28.233,112.867,68,2020/8/28,83,"H,,S",95,",,S",73,",,S",,,28,35,23
CHM00057687,"CHANGSHA, CH",28.233,112.867,68,2020/8/29,82,"H,,S",95,",,S",74,",,S",,,28,35,23
CHM00057687,"CHANGSHA, CH",28.233,112.867,68,2020/8/30,84,"H,,S",95,",,S",74,",,S",,,29,35,23
CHM00057687,"CHANGSHA, CH",28.233,112.867,68,2020/8/31,84,"H,,S",94,",,S",78,",,S",,,29,34,26
CHM00057687,"CHANGSHA, CH",28.233,112.867,68,2020/9/1,83,"H,,S",93,",,S",74,",,S",,,28,34,23
CHM00057687,"CHANGSHA, CH",28.233,112.867,68,2020/9/2,81,"H,,S",91,",,S",74,",,S",,,27,33,23
CHM00057687,"CHANGSHA, CH",28.233,112.867,68,2020/9/3,83,"H,,S",95,",,S",74,",,S",,,28,35,23
CHM00057687,"CHANGSHA, CH",28.233,112.867,68,2020/9/4,71,"H,,S",95,",,S",68,",,S",,,22,35,20
CHM00057687,"CHANGSHA, CH",28.233,112.867,68,2020/9/5,75,"H,,S",79,",,S",68,",,S",,,24,26,20
CHM00057687,"CHANGSHA, CH",28.233,112.867,68,2020/9/6,71,"H,,S",79,",,S",67,",,S",,,22,26,19
CHM00057687,"CHANGSHA, CH",28.233,112.867,68,2020/9/7,72,"H,,S",78,",,S",67,",,S",,,22,26,19
CHM00057687,"CHANGSHA, CH",28.233,112.867,68,2020/9/8,79,"H,,S",89,",,S",68,",,S",,,26,32,20
CHM00057687,"CHANGSHA, CH",28.233,112.867,68,2020/9/9,81,"H,,S",91,",,S",73,",,S",,,27,33,23
CHM00057687,"CHANGSHA, CH",28.233,112.867,68,2020/9/10,72,"H,,S",91,",,S",70,",,S",,,22,33,21
CHM00057687,"CHANGSHA, CH",28.233,112.867,68,2020/9/11,75,"H,,S",80,",,S",70,",,S",,,24,27,21
CHM00057687,"CHANGSHA, CH",28.233,112.867,68,2020/9/12,75,"H,,S",81,",,S",71,",,S",,,24,27,22
CHM00057687,"CHANGSHA, CH",28.233,112.867,68,2020/9/13,74,"H,,S",81,",,S",70,",,S",,,23,27,21
CHM00057687,"CHANGSHA, CH",28.233,112.867,68,2020/9/14,71,"H,,S",80,",,S",68,",,S",,,22,27,20
CHM00057687,"CHANGSHA, CH",28.233,112.867,68,2020/9/15,72,"H,,S",78,",,S",68,",,S",,,22,26,20
CHM00057687,"CHANGSHA, CH",28.233,112.867,68,2020/9/16,69,"H,,S",76,",,S",64,",,S",,,21,24,18
