STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TAVGF,TAVG_ATTRIBUTES,TMAXF,TMAX_ATTRIBUTES,TMINF,TMIN_ATTRIBUTES,,,TAVG,TMAX,TMIN
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/8/16,66,"H,,S",78,",,S",,,,,19,26,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/8/17,63,"H,,S",72,",,S",,,,,17,22,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/8/18,62,"H,,S",71,",,S",,,,,17,22,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/8/19,63,"H,,S",72,",,S",,,,,17,22,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/8/20,67,"H,,S",77,",,S",60,",,S",,,19,25,16
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/8/21,68,"H,,S",77,",,S",,,,,20,25,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/8/22,67,"H,,S",77,",,S",,,,,19,25,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/8/23,69,"H,,S",80,",,S",,,,,21,27,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/8/24,67,"H,,S",80,",,S",,,,,19,27,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/8/25,67,"H,,S",83,",,S",,,,,19,28,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/8/26,71,"H,,S",85,",,S",55,",,S",,,22,29,13
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/8/27,73,"H,,S",86,",,S",59,",,S",,,23,30,15
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/8/28,71,"H,,S",86,",,S",,,,,22,30,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/8/29,67,"H,,S",81,",,S",,,,,19,27,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/8/30,65,"H,,S",78,",,S",,,,,18,26,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/8/31,61,"H,,S",74,",,S",,,,,16,23,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/9/1,65,"H,,S",78,",,S",,,,,18,26,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/9/2,69,"H,,S",81,",,S",58,",,S",,,21,27,14
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/9/3,70,"H,,S",81,",,S",60,",,S",,,21,27,16
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/9/4,69,"H,,S",81,",,S",64,",,S",,,21,27,18
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/9/5,70,"H,,S",81,",,S",64,",,S",,,21,27,18
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/9/6,63,"H,,S",81,",,S",,,,,17,27,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/9/7,65,"H,,S",73,",,S",,,,,18,23,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/9/8,66,"H,,S",73,",,S",,,,,19,23,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/9/9,68,"H,,S",78,",,S",61,",,S",,,20,26,16
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/9/10,66,"H,,S",78,",,S",,,,,19,26,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/9/11,66,"H,,S",75,",,S",,,,,19,24,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/9/12,65,"H,,S",75,",,S",,,,,18,24,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/9/13,65,"H,,S",73,",,S",,,,,18,23,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/9/14,66,"H,,S",73,",,S",,,,,19,23,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/9/15,67,"H,,S",74,",,S",,,,,19,23,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/9/16,67,"H,,S",77,",,S",,,,,19,25,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/9/17,62,"H,,S",77,",,S",,,,,17,25,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/9/18,60,"H,,S",74,",,S",,,,,16,23,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/9/19,63,"H,,S",69,",,S",,,,,17,21,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/9/20,65,"H,,S",73,",,S",,,,,18,23,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/9/21,67,"H,,S",76,",,S",,,,,19,24,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/9/22,65,"H,,S",77,",,S",,,,,18,25,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/9/23,57,"H,,S",77,",,S",,,,,14,25,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/9/24,63,"H,,S",67,",,S",57,",,S",,,17,19,14
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/9/25,66,"H,,S",75,",,S",60,",,S",,,19,24,16
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/9/26,61,"H,,S",75,",,S",,,,,16,24,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/9/27,67,"H,,S",80,",,S",,,,,19,27,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/9/28,67,"H,,S",80,",,S",,,,,19,27,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/9/29,65,"H,,S",77,",,S",,,,,18,25,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/9/30,67,"H,,S",78,",,S",,,,,19,26,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/10/1,68,"H,,S",79,",,S",,,,,20,26,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/10/2,68,"H,,S",79,",,S",,,,,20,26,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/10/3,67,"H,,S",79,",,S",,,,,19,26,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/10/4,67,"H,,S",77,",,S",,,,,19,25,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/10/5,67,"H,,S",77,",,S",,,,,19,25,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/10/6,65,"H,,S",75,",,S",,,,,18,24,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/10/7,62,"H,,S",73,",,S",,,,,17,23,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/10/8,63,"H,,S",72,",,S",,,,,17,22,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/10/9,59,"H,,S",71,",,S",,,,,15,22,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/10/10,61,"H,,S",76,",,S",,,,,16,24,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/10/11,63,"H,,S",76,",,S",,,,,17,24,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/10/12,60,"H,,S",76,",,S",,,,,16,24,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/10/13,62,"H,,S",74,",,S",,,,,17,23,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/10/14,60,"H,,S",74,",,S",,,,,16,23,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/10/15,58,"H,,S",69,",,S",,,,,14,21,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/10/16,50,"H,,S",61,",,S",,,,,10,16,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/10/17,52,"H,,S",60,",,S",,,,,11,16,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2020/10/18,52,"H,,S",60,",,S",,,,,11,16,
